province	booysen_share	booyzen_share	note
Western Cape	39%	10%	parent name heartland
Eastern Cape	17%	-	the old Cape Colony districts
Gauteng	15%	45%	the Witwatersrand - Johannesburg
Limpopo	-	9%	
